x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.87030322,0.3480816,0.58329213,0.81226245,0.97751113,5.09511026,-2.86856281,0.35055287,0.58725513,0.80940189,0.98748365
-2.86856281,0.35055287,0.58725513,0.80940189,0.98748365,5.09093589,-2.86681005,0.353036,0.59124431,0.80649251,0.99752809
-2.86681005,0.353036,0.59124431,0.80649251,0.99752809,5.0864615,-2.86504487,0.35553158,0.59525944,0.80353357,1.00764483
-2.86504487,0.35553158,0.59525944,0.80353357,1.00764483,5.08168139,-2.86326721,0.35804023,0.59930025,0.80052434,1.01783422
-2.86326721,0.35804023,0.59930025,0.80052434,1.01783422,5.07658983,-2.86147701,0.36056255,0.60336647,0.79746404,1.02809665
-2.86147701,0.36056255,0.60336647,0.79746404,1.02809665,5.071181,-2.85967419,0.36309919,0.60745783,0.79435193,1.03843245
-2.85967419,0.36309919,0.60745783,0.79435193,1.03843245,5.06544905,-2.8578587,0.36565082,0.61157403,0.79118721,1.04884197
-2.8578587,0.36565082,0.61157403,0.79118721,1.04884197,5.05938808,-2.85603044,0.36821811,0.61571475,0.78796913,1.05932557
-2.85603044,0.36821811,0.61571475,0.78796913,1.05932557,5.05299214,-2.85418935,0.37080176,0.61987968,0.78469688,1.06988357
-2.85418935,0.37080176,0.61987968,0.78469688,1.06988357,5.04625523,-2.85233534,0.37340249,0.62406846,0.78136967,1.08051629
-2.85233534,0.37340249,0.62406846,0.78136967,1.08051629,5.03917133,-2.85046833,0.37602104,0.62828074,0.7779867,1.09122406
-2.85046833,0.37602104,0.62828074,0.7779867,1.09122406,5.03173435,-2.84858823,0.37865818,0.63251616,0.77454716,1.10200718
-2.84858823,0.37865818,0.63251616,0.77454716,1.10200718,5.0239382,-2.84669494,0.38131468,0.63677432,0.77105024,1.11286596
-2.84669494,0.38131468,0.63677432,0.77105024,1.11286596,5.01577672,-2.84478836,0.38399135,0.64105482,0.7674951,1.12380068
-2.84478836,0.38399135,0.64105482,0.7674951,1.12380068,5.00724374,-2.84286841,0.38668902,0.64535723,0.76388091,1.13481164
-2.84286841,0.38668902,0.64535723,0.76388091,1.13481164,4.99833306,-2.84093496,0.38940854,0.64968112,0.76020684,1.14589911
-2.84093496,0.38940854,0.64968112,0.76020684,1.14589911,4.98903845,-2.83898792,0.39215076,0.65402604,0.75647204,1.15706335
-2.83898792,0.39215076,0.65402604,0.75647204,1.15706335,4.97935367,-2.83702716,0.3949166,0.6583915,0.75267565,1.16830463
-2.83702716,0.3949166,0.6583915,0.75267565,1.16830463,4.96927246,-2.83505258,0.39770695,0.66277701,0.74881682,1.1796232
-2.83505258,0.39770695,0.66277701,0.74881682,1.1796232,4.95878853,-2.83306405,0.40052277,0.66718207,0.74489468,1.19101929
-2.83306405,0.40052277,0.66718207,0.74489468,1.19101929,4.9478956,-2.83106143,0.40336502,0.67160613,0.74090836,1.20249314
-2.83106143,0.40336502,0.67160613,0.74090836,1.20249314,4.93658737,-2.82904461,0.40623468,0.67604865,0.73685699,1.21404496
-2.82904461,0.40623468,0.67604865,0.73685699,1.21404496,4.92485755,-2.82701343,0.40913276,0.68050906,0.73273967,1.22567499
-2.82701343,0.40913276,0.68050906,0.73273967,1.22567499,4.91269984,-2.82496777,0.4120603,0.68498675,0.72855552,1.2373834
-2.82496777,0.4120603,0.68498675,0.72855552,1.2373834,4.90010797,-2.82290747,0.41501836,0.68948113,0.72430365,1.24917041
-2.82290747,0.41501836,0.68948113,0.72430365,1.24917041,4.88707565,-2.82083238,0.41800802,0.69399154,0.71998315,1.26103619
-2.82083238,0.41800802,0.69399154,0.71998315,1.26103619,4.87359663,-2.81874234,0.4210304,0.69851734,0.71559313,1.27298091
-2.81874234,0.4210304,0.69851734,0.71559313,1.27298091,4.85966466,-2.81663718,0.42408663,0.70305784,0.71113267,1.28500475
-2.81663718,0.42408663,0.70305784,0.71113267,1.28500475,4.84527354,-2.81451675,0.42717786,0.70761235,0.70660086,1.29710785
-2.81451675,0.42717786,0.70761235,0.70660086,1.29710785,4.83041708,-2.81238086,0.4303053,0.71218012,0.70199678,1.30929036
-2.81238086,0.4303053,0.71218012,0.70199678,1.30929036,4.81508914,-2.81022934,0.43347014,0.71676041,0.69731952,1.3215524
-2.81022934,0.43347014,0.71676041,0.69731952,1.3215524,4.79928361,-2.80806198,0.43667363,0.72135245,0.69256815,1.33389412
-2.80806198,0.43667363,0.72135245,0.69256815,1.33389412,4.78299445,-2.80587862,0.43991704,0.72595544,0.68774174,1.34631561
-2.80587862,0.43991704,0.72595544,0.68774174,1.34631561,4.76621563,-2.80367903,0.44320166,0.73056854,0.68283937,1.35881698
-2.80367903,0.44320166,0.73056854,0.68283937,1.35881698,4.74894123,-2.80146302,0.4465288,0.73519091,0.6778601,1.37139832
-2.80146302,0.4465288,0.73519091,0.6778601,1.37139832,4.73116536,-2.79923038,0.44989982,0.73982168,0.67280301,1.38405972
-2.79923038,0.44989982,0.73982168,0.67280301,1.38405972,4.71288221,-2.79698088,0.45331607,0.74445992,0.66766715,1.39680124
-2.79698088,0.45331607,0.74445992,0.66766715,1.39680124,4.69408606,-2.7947143,0.45677897,0.74910472,0.6624516,1.40962295
-2.7947143,0.45677897,0.74910472,0.6624516,1.40962295,4.67477126,-2.7924304,0.46028994,0.75375511,0.65715541,1.42252489
-2.7924304,0.46028994,0.75375511,0.65715541,1.42252489,4.65493226,-2.79012896,0.46385044,0.7584101,0.65177766,1.43550712
-2.79012896,0.46385044,0.7584101,0.65177766,1.43550712,4.63456359,-2.7878097,0.46746193,0.76306868,0.6463174,1.44856965
-2.7878097,0.46746193,0.76306868,0.6463174,1.44856965,4.61365992,-2.78547239,0.47112594,0.76772981,0.64077371,1.46171251
-2.78547239,0.47112594,0.76772981,0.64077371,1.46171251,4.59221599,-2.78311676,0.47484399,0.7723924,0.63514564,1.47493571
-2.78311676,0.47484399,0.7723924,0.63514564,1.47493571,4.57022671,-2.78074254,0.47861765,0.77705535,0.62943228,1.48823924
-2.78074254,0.47861765,0.77705535,0.62943228,1.48823924,4.54768707,-2.77834946,0.48244851,0.78171752,0.62363268,1.50162309
